feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
P1_W,-0.014020295125057541,0.006176693308456038,0.014020295125057541,0.00028494775880436084,1.2219219267396841e-05,sparse_encoding
P1_Y,0.0165553260808917,0.005105589311350904,0.0165553260808917,0.002425908593714563,1.67422433948038e-05,sparse_encoding
P2_A,0.03831198383418856,0.004963017881966841,0.03831198383418856,0.0009973453490799214,3.3925034453883626e-05,sparse_encoding
P2_C,0.47833953505074955,0.07319095487139676,0.47833953505074955,3.186590183836361e-06,1.1648311162853574e-06,sparse_encoding
P2_D,0.0,0.0,0.0,0.0,0.0,sparse_encoding
P2_E,0.1364072237382206,0.2640719607167711,0.1364072237382206,1.4628229744717716e-05,1.9645576768772237e-06,sparse_encoding
P2_F,0.1224895878502277,0.008743567169946377,0.1224895878502277,0.0010071299134926798,5.7150114307263125e-05,sparse_encoding
P2_G,0.013794942174794567,0.00492759884549528,0.013794942174794567,6.0840013932709147e-05,1.0232813933755557e-05,sparse_encoding
P2_H,0.39269205502050175,0.08847828426075251,0.39269205502050175,3.4868505500327717e-06,1.4692245561326083e-06,sparse_encoding
P2_I,-0.05268192310496056,0.006048932921054595,0.05268192310496056,0.002618690101368031,2.6883054260782357e-05,sparse_encoding
P2_K,-0.7937597770812022,0.11730553571756036,0.7937597770812022,5.498607624238038e-06,1.8133730945399698e-06,sparse_encoding
P2_L,0.03899284025064974,0.004749966361564181,0.03899284025064974,0.004279712710806624,2.549813510162403e-05,sparse_encoding
P2_M,-0.07156557891755903,0.005666604218672459,0.07156557891755903,0.0026369031616200475,5.5017685699226476e-05,sparse_encoding
P2_N,-0.010647131364833154,0.006714609069298436,0.010647131364833154,7.977503835855849e-06,1.6307218137108355e-06,sparse_encoding
P2_P,0.5489849347663613,0.2778754129747652,0.5489849347663613,9.990527603442212e-06,5.167778318171505e-06,sparse_encoding
P2_Q,0.020833299324665686,0.004260281828711278,0.020833299324665686,0.001826445230123833,4.4241573701983e-05,sparse_encoding
P2_R,0.0,0.0,0.0,0.0,0.0,sparse_encoding
P2_S,-0.021151174042215462,0.0071408711884854365,0.021151174042215462,0.00031859616995524555,6.229211860121359e-06,sparse_encoding
P2_T,0.004871280320921096,0.0027631602860030977,0.004871280320921096,0.0011113006343154148,1.0399177632711154e-05,sparse_encoding
P2_V,-0.08308645931380737,0.0020361051397775267,0.08308645931380737,0.0025101839386217745,4.088342894543638e-05,sparse_encoding
P2_W,1.0483478055342281,0.11871736853138852,1.0483478055342281,2.5866597203277654e-05,3.736056624224135e-06,sparse_encoding
P2_Y,0.06530871497581131,0.0055762799224276455,0.06530871497581131,5.542355091603706e-05,7.269182472090019e-06,sparse_encoding
P3_A,0.010451655928407591,0.00467318740325648,0.010451655928407591,0.002845188579667734,2.5104955297130804e-05,sparse_encoding
P3_C,0.002545187562163215,0.00371321438401929,0.002545187562163215,0.0002222910564103144,1.538360269462493e-05,sparse_encoding
P3_D,0.0022181190411921952,0.0041444186279301146,0.0022181190411921952,0.0030096489088071543,3.970247074403268e-05,sparse_encoding
P3_E,-0.07740747203910947,0.0040172559968141884,0.07740747203910947,0.0013722699367357733,4.0505586066294744e-05,sparse_encoding
P3_F,-0.021871306097376766,0.004351374143615448,0.021871306097376766,0.0021914413177222926,9.385427632043394e-06,sparse_encoding
P3_G,-0.040409238708626415,0.003093571524286133,0.040409238708626415,0.0017762082968928081,4.1028587785839736e-05,sparse_encoding
