component_idx,explained_variance_ratio,cumulative_variance
729,0.00003645,0.99042994
730,0.00003638,0.99046630
731,0.00003634,0.99050266
732,0.00003622,0.99053890
733,0.00003616,0.99057508
734,0.00003605,0.99061114
735,0.00003595,0.99064708
736,0.00003589,0.99068296
737,0.00003580,0.99071878
738,0.00003573,0.99075449
739,0.00003569,0.99079019
740,0.00003558,0.99082577
741,0.00003539,0.99086118
742,0.00003532,0.99089652
743,0.00003519,0.99093169
744,0.00003511,0.99096680
745,0.00003508,0.99100184
746,0.00003498,0.99103683
747,0.00003491,0.99107176
748,0.00003483,0.99110657
749,0.00003476,0.99114132
750,0.00003470,0.99117601
751,0.00003460,0.99121058
752,0.00003449,0.99124509
753,0.00003442,0.99127954
754,0.00003438,0.99131393
755,0.00003430,0.99134827
756,0.00003422,0.99138248
757,0.00003415,0.99141663
758,0.00003406,0.99145067
759,0.00003402,0.99148470
760,0.00003383,0.99151856
761,0.00003379,0.99155235
762,0.00003369,0.99158603
763,0.00003359,0.99161965
764,0.00003353,0.99165320
765,0.00003342,0.99168664
766,0.00003339,0.99172002
767,0.00003331,0.99175334
768,0.00003329,0.99178660
769,0.00003321,0.99181980
770,0.00003318,0.99185300
771,0.00003312,0.99188614
772,0.00003301,0.99191916
773,0.00003291,0.99195206
774,0.00003275,0.99198478
775,0.00003271,0.99201751
776,0.00003258,0.99205011
777,0.00003251,0.99208260
778,0.00003242,0.99211502
779,0.00003238,0.99214739
780,0.00003224,0.99217963
781,0.00003221,0.99221182
782,0.00003216,0.99224401
783,0.00003203,0.99227601
784,0.00003196,0.99230796
785,0.00003194,0.99233991
786,0.00003186,0.99237174
787,0.00003179,0.99240351
788,0.00003175,0.99243528
789,0.00003166,0.99246693
790,0.00003159,0.99249852
791,0.00003154,0.99253005
792,0.00003152,0.99256158
793,0.00003131,0.99259287
794,0.00003129,0.99262416
795,0.00003122,0.99265540
796,0.00003115,0.99268657
797,0.00003112,0.99271768
798,0.00003104,0.99274874
799,0.00003099,0.99277973
800,0.00003098,0.99281073
801,0.00003081,0.99284154
802,0.00003074,0.99287230
803,0.00003065,0.99290293
804,0.00003055,0.99293345
805,0.00003049,0.99296397
806,0.00003048,0.99299443
807,0.00003042,0.99302483
808,0.00003031,0.99305516
809,0.00003023,0.99308538
810,0.00003018,0.99311554
811,0.00003011,0.99314564
812,0.00003005,0.99317569
813,0.00002999,0.99320567
814,0.00002987,0.99323553
815,0.00002981,0.99326533
816,0.00002975,0.99329507
817,0.00002964,0.99332470
818,0.00002959,0.99335432
819,0.00002953,0.99338388
820,0.00002952,0.99341339
821,0.00002943,0.99344283
822,0.00002932,0.99347216
823,0.00002925,0.99350142
824,0.00002922,0.99353063
825,0.00002909,0.99355972
826,0.00002902,0.99358875
827,0.00002900,0.99361777
828,0.00002889,0.99364668
829,0.00002880,0.99367547
830,0.00002878,0.99370426
831,0.00002871,0.99373299
832,0.00002860,0.99376160
833,0.00002855,0.99379015
834,0.00002847,0.99381864
835,0.00002846,0.99384713
836,0.00002839,0.99387550
837,0.00002834,0.99390382
838,0.00002829,0.99393213
839,0.00002815,0.99396026
840,0.00002810,0.99398834
841,0.00002808,0.99401641
842,0.00002802,0.99404442
843,0.00002790,0.99407232
844,0.00002784,0.99410015
845,0.00002781,0.99412799
846,0.00002777,0.99415576
847,0.00002771,0.99418348
848,0.00002768,0.99421114
849,0.00002765,0.99423879
850,0.00002747,0.99426627
851,0.00002745,0.99429375
852,0.00002740,0.99432117
853,0.00002735,0.99434853
854,0.00002727,0.99437577
855,0.00002720,0.99440295
856,0.00002716,0.99443012
857,0.00002715,0.99445730
858,0.00002707,0.99448436
859,0.00002703,0.99451137
860,0.00002702,0.99453837
861,0.00002691,0.99456525
862,0.00002682,0.99459207
863,0.00002675,0.99461883
864,0.00002665,0.99464548
865,0.00002663,0.99467212
866,0.00002650,0.99469864
867,0.00002639,0.99472505
868,0.00002635,0.99475139
869,0.00002623,0.99477762
870,0.00002618,0.99480379
871,0.00002610,0.99482989
872,0.00002607,0.99485594
873,0.00002601,0.99488193
874,0.00002597,0.99490792
875,0.00002595,0.99493384
876,0.00002585,0.99495971
877,0.00002582,0.99498552
878,0.00002577,0.99501127
879,0.00002566,0.99503696
880,0.00002564,0.99506259
881,0.00002560,0.99508822
882,0.00002549,0.99511373
883,0.00002541,0.99513912
884,0.00002535,0.99516445
885,0.00002527,0.99518973
886,0.00002521,0.99521494
887,0.00002515,0.99524009
888,0.00002511,0.99526519
889,0.00002506,0.99529022
890,0.00002497,0.99531519
891,0.00002493,0.99534011
892,0.00002488,0.99536496
893,0.00002483,0.99538982
894,0.00002474,0.99541456
895,0.00002469,0.99543923
896,0.00002466,0.99546391
897,0.00002459,0.99548852
898,0.00002452,0.99551302
899,0.00002449,0.99553752
900,0.00002442,0.99556196
901,0.00002437,0.99558634
902,0.00002434,0.99561065
903,0.00002424,0.99563491
904,0.00002418,0.99565911
905,0.00002410,0.99568319
906,0.00002407,0.99570727
907,0.00002400,0.99573129
908,0.00002396,0.99575526
909,0.00002394,0.99577922
910,0.00002387,0.99580306
911,0.00002383,0.99582690
912,0.00002375,0.99585062
913,0.00002370,0.99587435
914,0.00002365,0.99589801
915,0.00002362,0.99592161
916,0.00002357,0.99594516
917,0.00002351,0.99596864
918,0.00002346,0.99599212
919,0.00002338,0.99601549
920,0.00002336,0.99603885
921,0.00002325,0.99606210
922,0.00002318,0.99608529
923,0.00002311,0.99610841
924,0.00002303,0.99613142
925,0.00002300,0.99615443
926,0.00002292,0.99617732
927,0.00002289,0.99620020
928,0.00002275,0.99622297
929,0.00002270,0.99624568
930,0.00002266,0.99626833
931,0.00002260,0.99629092
932,0.00002256,0.99631351
933,0.00002251,0.99633604
934,0.00002243,0.99635845
935,0.00002239,0.99638087
936,0.00002236,0.99640322
937,0.00002233,0.99642557
938,0.00002229,0.99644786
939,0.00002227,0.99647015
940,0.00002221,0.99649239
941,0.00002209,0.99651450
942,0.00002203,0.99653655
943,0.00002198,0.99655855
944,0.00002188,0.99658042
945,0.00002184,0.99660224
946,0.00002178,0.99662399
947,0.00002174,0.99664575
948,0.00002171,0.99666744
949,0.00002169,0.99668914
950,0.00002160,0.99671072
951,0.00002156,0.99673229
952,0.00002152,0.99675381
953,0.00002143,0.99677527
954,0.00002140,0.99679667
955,0.00002131,0.99681795
956,0.00002125,0.99683923
957,0.00002122,0.99686044
958,0.00002119,0.99688160
959,0.00002116,0.99690276
960,0.00002111,0.99692386
961,0.00002101,0.99694484
962,0.00002099,0.99696583
963,0.00002095,0.99698681
964,0.00002088,0.99700767
965,0.00002082,0.99702847
966,0.00002080,0.99704927
967,0.00002079,0.99707007
968,0.00002077,0.99709082
969,0.00002066,0.99711150
970,0.00002064,0.99713212
971,0.00002055,0.99715269
972,0.00002051,0.99717319
973,0.00002043,0.99719363
974,0.00002036,0.99721402
975,0.00002034,0.99723434
976,0.00002026,0.99725461
977,0.00002021,0.99727482
